waitlist,program,tools,exp.Rmodeling,gender,primaryeditor,exp.Rgraphics,exp.Radvanced,exp.documentation,exp.Matlab,exp.Github,GitHub,Excel,SQL,RStudio,ggplot2,shell,C,Python,LaTeX,grep,Sweave,XML,Web,dropbox,googledrive,SPSS,Stata,R,number_tools,experience
No,MS IDSE,"R, Github, SQL, RStudio, ggplot2, shell (terminal / command line), Python, regular expressions (grep), dropbox, google drive (formerly docs)",Confident,Male,vi/vim,Confident,A little,Expert,A little,Confident,True,False,True,True,True,True,False,True,False,True,False,False,False,True,True,False,False,True,10,11
No,MS IDSE,"Matlab, R, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, dropbox",Confident,Male,Rstudio,Confident,A little,A little,Confident,A little,False,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,9,9
No,MS IDSE,"R, Excel, SQL, RStudio, C/C++, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,None,None,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,7,5
No,Cert IDSE,"Matlab, R, Excel, SQL, RStudio, shell (terminal / command line), Python, Stata, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,None,None,Confident,None,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True,10,5
Yes,MS Stat,"R, Excel, RStudio, LaTeX, google drive (formerly docs)",Confident,Female,Rstudio,Confident,Confident,None,A little,A little,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,5,8
No,MS IDSE,"R, Github, Excel, SQL, RStudio, ggplot2, Python, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,Confident,Confident,A little,None,Confident,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,10,9
Yes,MS Stat,"Matlab, R, RStudio, SPSS, C/C++",Confident,Male,Rstudio,Confident,Confident,A little,Confident,A little,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,5,10
No,MS IDSE,"Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,Confident,Confident,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,10,9
No,MS IDSE,"Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,Confident,Confident,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,10,9
Yes,MS Stat,"Matlab, R, Excel, RStudio, SPSS, C/C++",Expert,Female,Rstudio,Expert,Confident,A little,A little,A little,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,6,11
