"","waitlist","program","tools","exp.Rmodeling","gender","primaryeditor","exp.Rgraphics","exp.Radvanced","exp.documentation","exp.Matlab","exp.Github","GitHub","Excel","SQL","RStudio","ggplot2","shell","C","Python","LaTeX","grep","Sweave","XML","Web","dropbox","googledrive","SPSS","Stata","R","number_tools"
"28","No","MS IDSE","R, RStudio, C/C++, Python","Confident","Male","Rstudio","A little","A little","Confident","A little","A little",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4
"29","Yes","MS Stat","Matlab, R, Excel, RStudio, SPSS, C/C++, Stata","Confident","Male","Rstudio","A little","A little","None","A little","None",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7
"30","No","Cert IDSE","R, Excel, RStudio, dropbox, google drive (formerly docs)","A little","Male","Other","A little","None","None","None","A little",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5
"31","No","QMSS","R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)","Confident","Male","Sublime Text","Confident","Confident","A little","A little","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,16
"32","No","MS IDSE","R, Excel, RStudio, ggplot2, Python, Stata, LaTeX, dropbox, google drive (formerly docs)","Confident","Female","Rstudio","Confident","Confident","A little","A little","A little",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,9
"33","No","Other Masters","R, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","A little","Confident","None","None",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7
"34","Yes","Other Masters","Matlab, R, Github, Excel, Python, Web: html css js","Confident","Female","Xcode","Confident","A little","A little","Confident","Confident",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,6
"35","No","MS IDSE","Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, LaTeX, XML, Web: html css js, dropbox, google drive (formerly docs)","Confident","Male","Sublime Text","Confident","A little","Expert","Confident","Confident",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,14
"36","No","MS IDSE","R, Github, SQL, RStudio, ggplot2, shell (terminal / command line), Python, regular expressions (grep), dropbox, google drive (formerly docs)","Confident","Male","vi/vim","Confident","A little","Expert","A little","Confident",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,10
"37","No","MS IDSE","Matlab, R, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, dropbox","Confident","Male","Rstudio","Confident","A little","A little","Confident","A little",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,9
"38","No","MS IDSE","R, Excel, SQL, RStudio, C/C++, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","A little","A little","None","None",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7
"39","No","Cert IDSE","Matlab, R, Excel, SQL, RStudio, shell (terminal / command line), Python, Stata, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","None","None","Confident","None",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,10
"40","Yes","MS Stat","R, Excel, RStudio, LaTeX, google drive (formerly docs)","Confident","Female","Rstudio","Confident","Confident","None","A little","A little",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5
"41","No","MS IDSE","R, Github, Excel, SQL, RStudio, ggplot2, Python, Web: html css js, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","Confident","Confident","A little","None","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,10
"42","Yes","MS Stat","Matlab, R, RStudio, SPSS, C/C++","Confident","Male","Rstudio","Confident","Confident","A little","Confident","A little",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5
"43","No","MS IDSE","Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)","Confident","Male","Rstudio","A little","A little","A little","Confident","Confident",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10
"44","No","MS IDSE","Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)","Confident","Male","Rstudio","A little","A little","A little","Confident","Confident",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10
"45","Yes","MS Stat","Matlab, R, Excel, RStudio, SPSS, C/C++","Expert","Female","Rstudio","Expert","Confident","A little","A little","A little",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6
"46","No","MS IDSE","R, Github, RStudio, Python, dropbox, google drive (formerly docs)","A little","Male","Rstudio","A little","A little","A little","A little","A little",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,6
"47","No","MS IDSE","Matlab, R, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)","Expert","Male","Rstudio","Confident","Confident","A little","A little","None",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,8
"48","Yes","MS Stat","R, RStudio","Confident","Female","Rstudio","A little","A little","None","None","None",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"49","Yes","MS Stat","Matlab, R, Github, Excel, SQL, RStudio, ggplot2, C/C++, Python, XML, google drive (formerly docs)","Expert","Male","Rstudio","Confident","Expert","A little","Expert","Confident",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11
"50","No","MS IDSE","R, Excel, SQL, RStudio, Python, Stata, google drive (formerly docs)","Confident","Female","Rstudio","Confident","Confident","A little","A little","None",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,7
"51","No","MS IDSE","Matlab, R, Excel, RStudio, Python, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","A little","Confident","A little","None",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7
"52","No","MS IDSE","Excel, Python, dropbox, google drive (formerly docs)","A little","Female","iPython","None","None","A little","None","None",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4
"53","No","Cert IDSE","Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, XML, Web: html css js, dropbox, google drive (formerly docs)","A little","Male","vi/vim","A little","A little","None","A little","A little",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,12
"54","No","MS IDSE","R, Python","A little","Male","vi/vim","A little","A little","A little","A little","A little",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2
"55","No","MS Stat","R, RStudio, ggplot2, LaTeX","A little","Male","Rstudio","A little","None","None","None","None",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4
"56","No","MS IDSE","Matlab, R, RStudio, SPSS, Sweave/knitr","Confident","Female","Rstudio","A little","A little","Confident","Confident","None",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5
"57","Yes","MS Stat","R, Github, RStudio, LaTeX, dropbox, google drive (formerly docs)","A little","Male","Rstudio","A little","A little","A little","A little","A little",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,6
"58","No","MS IDSE","R, Excel, SQL, RStudio, shell (terminal / command line), Python, regular expressions (grep)","Confident","Male","notepad++","A little","A little","Confident","Confident","A little",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7
"59","Yes","Other PhD","Matlab, R, RStudio, ggplot2, dropbox","Confident","Male","Rstudio","Confident","A little","None","A little","None",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5
"60","No","MS IDSE","R, Excel, RStudio, Python, dropbox, google drive (formerly docs)","Confident","Female","Rstudio","A little","A little","A little","None","None",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,6
"61","No","Cert IDSE","R, SQL, RStudio, shell (terminal / command line), C/C++, Python, dropbox, google drive (formerly docs)","Confident","Male","Rstudio","A little","A little","Confident","A little","A little",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,8
"62","Yes","MS Stat","Matlab, R, Excel, SQL, RStudio, ggplot2, C/C++, Web: html css js, dropbox, google drive (formerly docs)","Expert","Male","Rstudio","Confident","Confident","Confident","Confident","A little",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,10
"63","No","MS IDSE","R, Github, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), Web: html css js, dropbox, google drive (formerly docs)","Confident","Male","vi/vim","A little","A little","None","None","Confident",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,12
"64","No","Cert IDSE","Matlab, R, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)","Expert","Female","notepad++","Confident","A little","A little","A little","A little",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,14
"65","No","MS IDSE","R, Github, SQL, RStudio, shell (terminal / command line), C/C++, Python, LaTeX, regular expressions (grep), XML, dropbox, google drive (formerly docs)","Confident","Male","vi/vim","A little","A little","None","None","Confident",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,12
"66","No","MS Stat","Excel, Python, dropbox","A little","Male","vi/vim","None","None","None","None","A little",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
"67","No","MS IDSE","Matlab, R, RStudio, Python, LaTeX, google drive (formerly docs)","Confident","Female","Rstudio","A little","A little","None","A little","A little",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,6
"68","No","MS IDSE","Excel, google drive (formerly docs)","None","Female","vi/vim","None","None","None","A little","A little",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
